783,1083,Wobbly,0.73
1083,1383,Wobbly,0.97
1383,1683,Wobbly,0.76
1383,1683,Bump,0.80
2283,2583,Wobbly,0.83
2283,2583,Bump,0.81
3183,3483,Wobbly,0.84
3183,3483,Bump,0.81
4083,4383,Wobbly,0.84
4083,4383,Bump,0.81
4983,5283,Wobbly,0.84
4983,5283,Bump,0.81
5883,6183,Wobbly,0.84
5883,6183,Bump,0.82
6783,7083,Wobbly,0.85
6783,7083,Bump,0.82
7683,7983,Wobbly,0.85
7683,7983,Bump,0.82
8583,8883,Wobbly,0.85
8583,8883,Bump,0.82
9483,9783,Wobbly,0.85
9483,9783,Bump,0.82
10383,10683,Wobbly,0.85
10383,10683,Bump,0.82
11283,11583,Wobbly,0.85
11283,11583,Bump,0.82
12183,12483,Wobbly,0.85
12183,12483,Bump,0.82
13083,13383,Wobbly,0.85
13083,13383,Bump,0.82
13983,14283,Wobbly,0.85
13983,14283,Bump,0.82
14883,15183,Wobbly,0.85
14883,15183,Bump,0.82
15783,16083,Wobbly,0.85
15783,16083,Bump,0.82
16683,16983,Wobbly,0.85
16683,16983,Bump,0.82
17583,17883,Wobbly,0.85
17583,17883,Bump,0.82
18483,18783,Wobbly,0.85
18483,18783,Bump,0.82
19383,19683,Wobbly,0.85
19383,19683,Bump,0.82
20283,20583,Wobbly,0.85
20283,20583,Bump,0.82
21183,21483,Wobbly,0.85
21183,21483,Bump,0.82
22083,22383,Wobbly,0.85
22083,22383,Bump,0.82
22983,23283,Wobbly,0.85
22983,23283,Bump,0.82
23883,24183,Wobbly,0.85
23883,24183,Bump,0.82
24783,25083,Wobbly,0.85
24783,25083,Bump,0.82
25683,25983,Wobbly,0.85
25683,25983,Bump,0.82
26583,26883,Wobbly,0.85
26583,26883,Bump,0.82
27483,27783,Wobbly,0.85
27483,27783,Bump,0.75
28383,28683,Wobbly,0.85
28383,28683,Bump,0.82
29283,29583,Wobbly,0.85
29283,29583,Bump,0.82
30183,30483,Wobbly,0.85
30183,30483,Bump,0.82
31083,31383,Wobbly,0.85
31083,31383,Bump,0.82
31983,32283,Wobbly,0.85
31983,32283,Bump,0.82
32883,33183,Wobbly,0.85
32883,33183,Bump,0.82
33783,34083,Wobbly,0.85
33783,34083,Bump,0.82
34683,34983,Wobbly,0.85
34683,34983,Bump,0.82
35583,35883,Wobbly,0.85
35583,35883,Bump,0.82
36483,36783,Wobbly,0.85
36483,36783,Bump,0.82
37383,37683,Wobbly,0.85
37383,37683,Bump,0.82
38283,38583,Wobbly,0.85
38283,38583,Bump,0.82
39183,39483,Wobbly,0.85
39183,39483,Bump,0.82
40083,40383,Wobbly,0.85
40083,40383,Bump,0.82
40983,41283,Wobbly,0.85
40983,41283,Bump,0.82
41883,42183,Wobbly,0.78
41883,42183,Bump,0.75
42783,43083,Wobbly,0.85
42783,43083,Bump,0.82
43683,43983,Wobbly,0.85
43683,43983,Bump,0.82
44583,44883,Wobbly,0.85
44583,44883,Bump,0.82
45483,45783,Wobbly,0.85
45483,45783,Bump,0.82
46383,46683,Wobbly,0.85
46383,46683,Bump,0.82
47283,47583,Wobbly,0.85
47283,47583,Bump,0.82
48183,48483,Wobbly,0.85
48183,48483,Bump,0.82
49083,49383,Wobbly,0.85
49083,49383,Bump,0.82
49983,50283,Wobbly,0.85
49983,50283,Bump,0.82
50883,51183,Wobbly,0.85
50883,51183,Bump,0.82
51783,52083,Wobbly,0.85
51783,52083,Bump,0.82
52683,52983,Wobbly,0.85
52683,52983,Bump,0.82
53583,53883,Wobbly,0.85
53583,53883,Bump,0.82
54483,54783,Wobbly,0.85
54483,54783,Bump,0.82
55383,55683,Wobbly,0.85
55383,55683,Bump,0.82
56283,56583,Wobbly,0.85
56283,56583,Bump,0.82
57183,57483,Wobbly,0.85
57183,57483,Bump,0.82
58083,58383,Wobbly,0.85
58083,58383,Bump,0.82
58983,59283,Wobbly,0.85
58983,59283,Bump,0.82
59883,60183,Wobbly,0.85
59883,60183,Bump,0.82
60783,61083,Wobbly,0.85
60783,61083,Bump,0.82
61683,61983,Wobbly,0.85
61683,61983,Bump,0.82
62583,62883,Wobbly,0.85
62583,62883,Bump,0.82
63483,63783,Wobbly,0.85
63483,63783,Bump,0.82
64383,64683,Wobbly,0.85
64383,64683,Bump,0.82
65283,65583,Wobbly,0.85
65283,65583,Bump,0.82
66183,66483,Wobbly,0.85
66183,66483,Bump,0.82
67083,67383,Wobbly,0.85
67083,67383,Bump,0.82
67983,68283,Wobbly,0.85
67983,68283,Bump,0.82
68883,69183,Wobbly,0.85
68883,69183,Bump,0.82
69783,70083,Wobbly,0.85
69783,70083,Bump,0.82
70683,70983,Wobbly,0.85
70683,70983,Bump,0.82
71583,71883,Wobbly,0.85
71583,71883,Bump,0.82
72483,72783,Wobbly,0.85
72483,72783,Bump,0.82
73383,73683,Wobbly,0.85
73383,73683,Bump,0.82
74283,74583,Wobbly,0.85
74283,74583,Bump,0.82
75183,75483,Wobbly,0.85
75183,75483,Bump,0.82
76083,76383,Wobbly,0.85
76083,76383,Bump,0.82
76983,77283,Wobbly,0.85
76983,77283,Bump,0.82
77883,78183,Wobbly,0.85
77883,78183,Bump,0.82
78783,79083,Wobbly,0.85
78783,79083,Bump,0.82
79683,79983,Wobbly,0.85
79683,79983,Bump,0.75
80583,80883,Wobbly,0.85
80583,80883,Bump,0.82
81483,81783,Wobbly,0.85
81483,81783,Bump,0.82
82383,82683,Wobbly,0.85
82383,82683,Bump,0.82
83283,83583,Wobbly,0.85
83283,83583,Bump,0.82
84183,84483,Wobbly,0.85
84183,84483,Bump,0.82
85083,85383,Wobbly,0.85
85083,85383,Bump,0.82
85983,86283,Wobbly,0.85
85983,86283,Bump,0.82
86883,87183,Wobbly,0.85
86883,87183,Bump,0.82
87783,88083,Wobbly,0.85
87783,88083,Bump,0.82
88683,88983,Wobbly,0.85
88683,88983,Bump,0.82
89583,89883,Wobbly,0.85
89583,89883,Bump,0.82
90483,90783,Wobbly,0.85
90483,90783,Bump,0.82
91383,91683,Wobbly,0.85
91383,91683,Bump,0.82
92283,92583,Wobbly,0.85
92283,92583,Bump,0.82
93183,93483,Wobbly,0.85
93183,93483,Bump,0.82
94083,94383,Wobbly,0.85
94083,94383,Bump,0.82
94983,95283,Wobbly,0.85
